subID,Antisaccade,StopSignal,Stroop,KeepTrack,LetterMem,SNback,NumberLetter,ColorShape,CategorySwitch
2038,50,-234.3333333,-180.3565068,73.214,78.03,82.9861,-389.768315,-230.0079365,-496.7628819
2039,39.8148,-274.5,-155.8619102,58.929,83.333,NA,NA,-67.91958042,-13.41920732
2048,62.03703333,-284.6666667,-257.3922518,64.286,51.515,70.83335,-356.8067376,-747.3358253,-495.2510638
2050,73.14816667,-222.6666667,-155.5826023,73.214,89.394,79.86115,-237.6365777,-38.25966131,-108.740903
2051,66.66666667,-262.6666667,-141.407722,73.214,82.576,82.29165,-133.1254162,-260.1542443,-237.975
2059,87.03703333,-246,-145.7679061,75,84.848,75.3472,-377.2491639,71.8,-253.8571429
2061,46.2963,-277.6666667,-351.9087014,67.857,82.576,73.2639,-242.1170599,-347.6539535,-183.7169811
2062,37.03703333,-259,25.66211382,73.214,68.939,68.40275,-335.3033333,-435.1919192,-432.1550926
2064,54.62963333,-277.6666667,-262.0109023,73.214,68.939,77.4306,-185.9591837,-261.7197832,-26.48076923
2065,80.5556,-282.6666667,-194.1726727,80.357,77.273,87.84725,-190.3277778,-27.65625,-56.60945626
2066,39.8148,-272,-159.9171233,82.143,71.97,90.97225,-271.7077445,-299.1201502,-379.8154762
2070,58.33333333,-227,-108.7222222,66.071,67.424,77.7778,-481.5040816,-368.2032967,-18.7597148
2083,41.66666667,-242,-158.8482625,75,62.121,73.2639,-724.8508549,-270.568254,-132.1054422
2089,49.0741,-254,-39.88333333,78.571,87.879,95.1389,-362.4732704,-313.3,-172.0342246
2092,53.7037,NA,-177.2151767,75,72.727,85.06945,-328.3823529,-409.2727273,-199.400463
2094,68.5185,-267.6666667,-159.1895594,71.429,80.303,84.7222,-140.4834308,-151.9574468,-64.89027113
2095,79.62963333,-224.3333333,-54.60868079,87.5,76.515,83.33335,-165.7586207,-413.5765306,-198.5925059
2099,76.85186667,-248,-31.26428571,73.214,84.091,86.80555,-79.8687384,-84.80854701,-34.02
2100,64.8148,NA,-32.19538572,73.214,64.394,87.5,-310.4811321,-129.3701528,-46.48875661
2101,63.8889,-265.6666667,-244.2150464,82.143,70.455,86.1111,-175.5230769,-145.5675676,-129.0315904
2102,64.8148,-203,-90.94183865,71.429,81.061,83.33335,-445.1851852,-305.201234,-176.1403509
2103,36.1111,-273.6666667,-129.1794872,73.214,86.364,77.7778,-133.9683258,-303.4235977,-176.9072006
2104,82.40743333,-276.6666667,-155.6820175,76.786,89.394,82.9861,-149.3951735,-203.627907,-45.22248428
2109,62.96296667,-251,-142.3947368,83.929,89.394,93.75,-86.68181818,-208.8114257,-190.3320093
2115,56.4815,-291.5,-153.125,53.571,59.848,82.29165,-237.842659,-153.1683278,-227.6646809
2116,81.4815,-262.6666667,-77.7780027,67.857,79.545,77.43055,-97.17470356,-150.7935673,-36.12765957
2125,62.96293333,-214.6666667,-149.7360902,67.857,77.273,84.0278,-339.3653846,-289.7991239,-180.8076923
2130,61.1111,-198,-121.1434751,64.286,86.364,85.06945,-193.3079784,-522.6165147,-103.6366995
2132,50,-267.6666667,-165.8195122,73.214,81.818,91.31945,-124.0269214,-268.5958656,-308.9242857
2133,51.85183333,-287,-189.345,69.643,88.636,81.25,-421.9634783,-424.5148462,-144.8986249
2134,86.1111,-265,-69.55666667,71.429,81.061,75.3472,-136.7519008,-197.622449,-110.4662309
2137,42.59256667,-218.3333333,-115.5862921,69.643,53.788,78.47225,-339.0280112,-187.6035022,-16.57235772
2144,76.85183333,-218.8333333,-96.57163743,82.143,88.636,82.63885,-115.3759071,-84.32252901,-38.62867647
2146,39.8148,-284.3333333,-270.3722689,80.357,58.333,79.5139,-306.5152174,-465.9311355,-416.8718779
2148,70.37033333,-301,-161.546339,67.857,65.152,79.5139,-724.8508549,-114.6393281,-243.588141
2149,73.14813333,-263,-48.02277992,71.429,83.333,94.44445,-101.2362963,-113.3555556,-10.05387205
2151,87.96296667,NA,-285.8759494,64.286,73.485,87.5,-195.2965035,-162.557598,-103.5516093
2158,69.4444,NA,-194.1025641,80.357,91.667,73.2639,-270.5207692,-500.619898,-448.4270016
2159,28.70373333,-230.5,-207.124359,67.857,59.091,72.91665,-95.15327696,-299.888055,-77.95493197
2160,75.92593333,-269.6666667,-175.5142857,66.071,94.697,73.6111,-134.5836835,-288.329199,-207.9002261
2161,60.18516667,-265,-171.6165884,75,54.545,82.6389,-336.832244,-122.5849057,-85.07302586
2162,64.8148,-269.3333333,-175.1734932,80.357,72.727,87.1528,-365.4503843,-356.7824612,-111.1748336
2163,61.1111,-261.3333333,-4.08630137,69.643,76.515,77.77775,-260.3947368,-30.90143965,-183.2969577
2164,66.66666667,-286,-132.4172494,64.286,53.03,71.875,-136.962963,-429.8649399,NA
2165,54.62963333,-289.6666667,-202.3837719,67.857,66.667,83.68055,-724.8508549,37.66883117,-181.7857143
2166,60.18516667,-211.6666667,-112.7997159,73.214,90.152,82.9861,-180.1295026,-64.15686275,-115.4598792
2167,50,-282.6666667,-150.5072512,80.357,93.182,84.02775,-92.03787879,-403.618315,-111.7233202
2168,48.14813333,-252.8333333,-132.6482512,78.571,94.697,82.63885,-278.1334884,-308.5029036,-201.4061265
2169,36.11113333,-287.5,-130.4554849,64.286,82.576,75,-136.1933739,-134.5777778,-98.26130452
2170,62.03703333,-264,-225.1293233,78.571,95.455,84.375,-221.4171738,-218.1875,-271.2279635
2171,47.2222,-265.6666667,-217.576694,76.786,68.182,76.7361,-419.8481481,-361.8292683,-452.8738878
2172,65.74073333,-263.6666667,-140.1896104,78.571,55.303,76.7361,-137.8355438,-318.4325581,-72.84288824
2174,59.25926667,-221.8333333,-281.6794872,66.071,62.879,71.5278,17.24204244,-219.8511628,-23.39294118
2175,70.37036667,-304.3333333,-25.08412483,78.571,83.333,80.9028,-221.9045752,-246.3314028,-107.1478114
2176,81.48146667,-253.6666667,-304.2570356,73.214,87.879,83.33335,-195.1098039,-259.3414443,-223.0115546
2177,75.00003333,-186.3333333,-208.6471795,75,75.758,81.25,-397.502451,-584.4129199,-192.1265537
2178,46.2963,-300.3333333,-232.6442308,71.429,56.818,77.08335,-488.7769608,-425.1444544,-355.7846004
2179,68.5185,-190,-188.2064565,53.571,66.667,85.76385,-393.5555556,-103.0834658,-241.5896657
2181,86.11113333,NA,-97.79466479,67.857,66.667,82.6389,-213.7894932,-93.47115385,-28.80553191
2183,66.66666667,-270.8333333,-70.15065789,73.214,75.758,85.41665,-89.78585271,-32.52140921,-71.02417795
2186,46.29633333,-298.3333333,-125.8812416,83.929,73.485,74.30555,-244.0166667,-128.951087,-255.1008668
2187,49.07406667,-279.6666667,-155.7182663,64.286,65.909,75,-618.4555556,-553.2933248,-526.3952382
